segment_id,subject,session,label,source_file,source_epoch_index,start_sample_in_epoch,stop_sample_exclusive,source_sfreq,sfreq,unit,waveform_file,array_index,source_urevents,qc_pass,included,max_abs_uv,max_ptp_uv,min_channel_std_uv,exclusion_reason
sub-01_ses-1_e0000_s000000,sub-01,ses-1,0,sub-01_ses-1.set,0,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,0,[1.0],True,True,49.386539459228516,80.06690216064453,3.337523135482814,
sub-01_ses-1_e0001_s000000,sub-01,ses-1,0,sub-01_ses-1.set,1,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,1,[2.0],True,True,53.242225646972656,73.46443176269531,4.742012618723666,
sub-01_ses-1_e0002_s000000,sub-01,ses-1,0,sub-01_ses-1.set,2,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,2,[3.0],True,True,44.399837493896484,67.3193588256836,3.7112471667171545,
sub-01_ses-1_e0003_s000000,sub-01,ses-1,0,sub-01_ses-1.set,3,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,3,[4.0],True,True,41.28551483154297,63.915367126464844,3.9875967543430804,
sub-01_ses-1_e0004_s000000,sub-01,ses-1,0,sub-01_ses-1.set,4,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,4,[5.0],True,True,38.187625885009766,63.04974365234375,3.5874363170208747,
sub-01_ses-1_e0005_s000000,sub-01,ses-1,0,sub-01_ses-1.set,5,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,5,[8.0],True,True,39.438865661621094,62.419700622558594,2.833336280769476,
sub-01_ses-1_e0006_s000000,sub-01,ses-1,0,sub-01_ses-1.set,6,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,6,[9.0],True,True,30.462894439697266,55.173675537109375,3.279231941226841,
sub-01_ses-1_e0007_s000000,sub-01,ses-1,0,sub-01_ses-1.set,7,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,7,[10.0],True,True,38.89006042480469,59.65751647949219,3.5712819717001896,
sub-01_ses-1_e0008_s000000,sub-01,ses-1,0,sub-01_ses-1.set,8,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,8,[12.0],True,True,38.23435592651367,59.57500457763672,3.0612051849787867,
sub-01_ses-1_e0009_s000000,sub-01,ses-1,0,sub-01_ses-1.set,9,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,9,[13.0],True,True,43.768550872802734,68.58236694335938,2.8974364242314357,
sub-01_ses-1_e0010_s000000,sub-01,ses-1,0,sub-01_ses-1.set,10,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,10,[14.0],True,True,33.59947967529297,62.469818115234375,2.5554257404930754,
sub-01_ses-1_e0011_s000000,sub-01,ses-1,0,sub-01_ses-1.set,11,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,11,[15.0],True,True,42.91080856323242,79.19286346435547,3.1824518345034987,
sub-01_ses-1_e0012_s000000,sub-01,ses-1,0,sub-01_ses-1.set,12,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,12,[16.0],True,True,45.982810974121094,76.92170715332031,3.1580343805625737,
sub-01_ses-1_e0013_s000000,sub-01,ses-1,0,sub-01_ses-1.set,13,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,13,[17.0],True,True,45.153892517089844,83.82456970214844,2.9153541471888107,
sub-01_ses-1_e0014_s000000,sub-01,ses-1,0,sub-01_ses-1.set,14,0,2000,500.0,500,uV,waveforms/sub-01_ses-1.npy,14,[18.0],True,True,38.142364501953125,64.0156021118164,3.3820228292499253,
