subject,file_name,epoch_index,global_epoch_index,batch_file
sub-01,sub-01_ses-2.set,0,0,batch_0000.npy
sub-01,sub-01_ses-2.set,1,1,batch_0000.npy
sub-01,sub-01_ses-2.set,2,2,batch_0000.npy
sub-01,sub-01_ses-2.set,3,3,batch_0000.npy
sub-01,sub-01_ses-2.set,4,4,batch_0000.npy
sub-01,sub-01_ses-2.set,5,5,batch_0000.npy
sub-01,sub-01_ses-2.set,6,6,batch_0000.npy
sub-01,sub-01_ses-2.set,7,7,batch_0000.npy
sub-01,sub-01_ses-2.set,8,8,batch_0000.npy
sub-01,sub-01_ses-2.set,9,9,batch_0000.npy
sub-01,sub-01_ses-2.set,10,10,batch_0000.npy
sub-01,sub-01_ses-2.set,11,11,batch_0000.npy
sub-01,sub-01_ses-2.set,12,12,batch_0000.npy
sub-01,sub-01_ses-2.set,13,13,batch_0000.npy
sub-01,sub-01_ses-2.set,14,14,batch_0000.npy
sub-01,sub-01_ses-2.set,15,15,batch_0000.npy
sub-01,sub-01_ses-2.set,16,16,batch_0000.npy
sub-01,sub-01_ses-2.set,17,17,batch_0000.npy
sub-01,sub-01_ses-2.set,18,18,batch_0000.npy
sub-01,sub-01_ses-2.set,19,19,batch_0000.npy
sub-01,sub-01_ses-2.set,20,20,batch_0000.npy
sub-01,sub-01_ses-2.set,21,21,batch_0000.npy
sub-01,sub-01_ses-2.set,22,22,batch_0000.npy
sub-01,sub-01_ses-2.set,23,23,batch_0000.npy
sub-01,sub-01_ses-2.set,24,24,batch_0000.npy
sub-01,sub-01_ses-2.set,25,25,batch_0000.npy
sub-01,sub-01_ses-2.set,26,26,batch_0000.npy
sub-01,sub-01_ses-2.set,27,27,batch_0000.npy
sub-01,sub-01_ses-2.set,28,28,batch_0000.npy
sub-01,sub-01_ses-2.set,29,29,batch_0000.npy
sub-01,sub-01_ses-2.set,30,30,batch_0000.npy
sub-01,sub-01_ses-2.set,31,31,batch_0000.npy
sub-01,sub-01_ses-2.set,32,32,batch_0000.npy
sub-01,sub-01_ses-2.set,33,33,batch_0000.npy
sub-01,sub-01_ses-2.set,34,34,batch_0000.npy
sub-01,sub-01_ses-2.set,35,35,batch_0000.npy
sub-01,sub-01_ses-2.set,36,36,batch_0000.npy
sub-01,sub-01_ses-2.set,37,37,batch_0000.npy
sub-01,sub-01_ses-2.set,38,38,batch_0000.npy
sub-01,sub-01_ses-2.set,39,39,batch_0000.npy
sub-01,sub-01_ses-2.set,40,40,batch_0000.npy
sub-01,sub-01_ses-2.set,41,41,batch_0000.npy
sub-01,sub-01_ses-2.set,42,42,batch_0000.npy
sub-01,sub-01_ses-2.set,43,43,batch_0000.npy
sub-01,sub-01_ses-2.set,44,44,batch_0000.npy
sub-01,sub-01_ses-2.set,45,45,batch_0000.npy
sub-01,sub-01_ses-2.set,46,46,batch_0000.npy
sub-01,sub-01_ses-2.set,47,47,batch_0000.npy
sub-01,sub-01_ses-2.set,48,48,batch_0000.npy
sub-01,sub-01_ses-2.set,49,49,batch_0000.npy
sub-01,sub-01_ses-2.set,50,50,batch_0000.npy
sub-01,sub-01_ses-2.set,51,51,batch_0000.npy
sub-01,sub-01_ses-2.set,52,52,batch_0000.npy
sub-01,sub-01_ses-2.set,53,53,batch_0000.npy
sub-02,sub-02_ses-2.set,0,54,batch_0001.npy
sub-02,sub-02_ses-2.set,1,55,batch_0001.npy
sub-02,sub-02_ses-2.set,2,56,batch_0001.npy
sub-02,sub-02_ses-2.set,3,57,batch_0001.npy
sub-02,sub-02_ses-2.set,4,58,batch_0001.npy
sub-02,sub-02_ses-2.set,5,59,batch_0001.npy
sub-02,sub-02_ses-2.set,6,60,batch_0001.npy
sub-02,sub-02_ses-2.set,7,61,batch_0001.npy
sub-02,sub-02_ses-2.set,8,62,batch_0001.npy
sub-02,sub-02_ses-2.set,9,63,batch_0001.npy
sub-02,sub-02_ses-2.set,10,64,batch_0001.npy
sub-02,sub-02_ses-2.set,11,65,batch_0001.npy
sub-02,sub-02_ses-2.set,12,66,batch_0001.npy
sub-02,sub-02_ses-2.set,13,67,batch_0001.npy
sub-02,sub-02_ses-2.set,14,68,batch_0001.npy
sub-02,sub-02_ses-2.set,15,69,batch_0001.npy
sub-02,sub-02_ses-2.set,16,70,batch_0001.npy
sub-02,sub-02_ses-2.set,17,71,batch_0001.npy
sub-02,sub-02_ses-2.set,18,72,batch_0001.npy
sub-02,sub-02_ses-2.set,19,73,batch_0001.npy
sub-02,sub-02_ses-2.set,20,74,batch_0001.npy
sub-02,sub-02_ses-2.set,21,75,batch_0001.npy
sub-02,sub-02_ses-2.set,22,76,batch_0001.npy
sub-02,sub-02_ses-2.set,23,77,batch_0001.npy
sub-02,sub-02_ses-2.set,24,78,batch_0001.npy
sub-02,sub-02_ses-2.set,25,79,batch_0001.npy
sub-02,sub-02_ses-2.set,26,80,batch_0001.npy
sub-02,sub-02_ses-2.set,27,81,batch_0001.npy
sub-02,sub-02_ses-2.set,28,82,batch_0001.npy
sub-02,sub-02_ses-2.set,29,83,batch_0001.npy
sub-02,sub-02_ses-2.set,30,84,batch_0001.npy
sub-02,sub-02_ses-2.set,31,85,batch_0001.npy
sub-02,sub-02_ses-2.set,32,86,batch_0001.npy
sub-02,sub-02_ses-2.set,33,87,batch_0001.npy
sub-02,sub-02_ses-2.set,34,88,batch_0001.npy
sub-02,sub-02_ses-2.set,35,89,batch_0001.npy
sub-02,sub-02_ses-2.set,36,90,batch_0001.npy
sub-02,sub-02_ses-2.set,37,91,batch_0001.npy
sub-02,sub-02_ses-2.set,38,92,batch_0001.npy
sub-02,sub-02_ses-2.set,39,93,batch_0001.npy
sub-02,sub-02_ses-2.set,40,94,batch_0001.npy
sub-02,sub-02_ses-2.set,41,95,batch_0001.npy
