subject,file_name,epoch_index,global_epoch_index,batch_file
sub-01,sub-01_ses-1.set,0,0,batch_0000.npy
sub-01,sub-01_ses-1.set,1,1,batch_0000.npy
sub-01,sub-01_ses-1.set,2,2,batch_0000.npy
sub-01,sub-01_ses-1.set,3,3,batch_0000.npy
sub-01,sub-01_ses-1.set,4,4,batch_0000.npy
sub-01,sub-01_ses-1.set,5,5,batch_0000.npy
sub-01,sub-01_ses-1.set,6,6,batch_0000.npy
sub-01,sub-01_ses-1.set,7,7,batch_0000.npy
sub-01,sub-01_ses-1.set,8,8,batch_0000.npy
sub-01,sub-01_ses-1.set,9,9,batch_0000.npy
sub-01,sub-01_ses-1.set,10,10,batch_0000.npy
sub-01,sub-01_ses-1.set,11,11,batch_0000.npy
sub-01,sub-01_ses-1.set,12,12,batch_0000.npy
sub-01,sub-01_ses-1.set,13,13,batch_0000.npy
sub-01,sub-01_ses-1.set,14,14,batch_0000.npy
sub-01,sub-01_ses-1.set,15,15,batch_0000.npy
sub-01,sub-01_ses-1.set,16,16,batch_0000.npy
sub-01,sub-01_ses-1.set,17,17,batch_0000.npy
sub-01,sub-01_ses-1.set,18,18,batch_0000.npy
sub-01,sub-01_ses-1.set,19,19,batch_0000.npy
sub-01,sub-01_ses-1.set,20,20,batch_0000.npy
sub-01,sub-01_ses-1.set,21,21,batch_0000.npy
sub-01,sub-01_ses-1.set,22,22,batch_0000.npy
sub-01,sub-01_ses-1.set,23,23,batch_0000.npy
sub-01,sub-01_ses-1.set,24,24,batch_0000.npy
sub-01,sub-01_ses-1.set,25,25,batch_0000.npy
sub-01,sub-01_ses-1.set,26,26,batch_0000.npy
sub-01,sub-01_ses-1.set,27,27,batch_0000.npy
sub-01,sub-01_ses-1.set,28,28,batch_0000.npy
sub-01,sub-01_ses-1.set,29,29,batch_0000.npy
sub-01,sub-01_ses-1.set,30,30,batch_0000.npy
sub-01,sub-01_ses-1.set,31,31,batch_0000.npy
sub-01,sub-01_ses-1.set,32,32,batch_0000.npy
sub-01,sub-01_ses-1.set,33,33,batch_0000.npy
sub-01,sub-01_ses-1.set,34,34,batch_0000.npy
sub-01,sub-01_ses-1.set,35,35,batch_0000.npy
sub-01,sub-01_ses-1.set,36,36,batch_0000.npy
sub-01,sub-01_ses-1.set,37,37,batch_0000.npy
sub-01,sub-01_ses-1.set,38,38,batch_0000.npy
sub-01,sub-01_ses-1.set,39,39,batch_0000.npy
sub-01,sub-01_ses-1.set,40,40,batch_0000.npy
sub-01,sub-01_ses-1.set,41,41,batch_0000.npy
sub-01,sub-01_ses-1.set,42,42,batch_0000.npy
sub-01,sub-01_ses-1.set,43,43,batch_0000.npy
sub-01,sub-01_ses-1.set,44,44,batch_0000.npy
